sample_id,material,E_eff_MPa,sigma_y_MPa,source,measured_porosity,relative_density,porosity_pct,mat_key,E_s,E_norm
EGS_01TS80_02_20220301,EGS,3.4525536248740716,1.3863455885481368,Experimental,70.50731394158018,0.29492686058419826,,EGS,,
RGD_02TS75_02_20220215,RGD,227.69468361642006,3.1463001636429238,Experimental,68.48614154215666,0.31513858457843336,,RGD,,
GPR_02TS60_03_20220211,GPR,244.58600351998436,9.879384213796977,Experimental,53.58073595329926,0.46419264046700737,,GPR,1916.9,0.1275945555427953
ERB_01TS85_02_20220221,ERB,19.235702925789074,1.3350950870319642,Experimental,82.98488740218623,0.17015112597813764,,ERB,,
DUR_02TS60_03_20220215,DUR,86.11339728924906,5.799856921370781,Experimental,55.139660123549874,0.4486033987645013,,DUR,,
HIG_01TS75_01_20220609,HIG,73.24745268580445,3.702522976681478,Experimental,59.62488410621193,0.4037511589378807,,HIG,,
M13_01TS80_03_20220221,M13,102.79671071889874,4.660670683076462,Experimental,64.69107516995008,0.35308924830049915,,M13,,
HEC_01TS65_02_20220608,HEC,112.10677183604025,5.070252673838435,Experimental,40.59562867513035,0.5940437132486964,,HEC,1001.5,0.11193886354072916
HEB_01TS85_01_20220609,HEB,19.49407465603835,1.551501114228192,Experimental,83.24403922674438,0.16755960773255618,,HEB,,
BMA_02TS70_03_20220216,BMA,208.7861441246605,8.668713923965223,Experimental,60.52462757666175,0.3947537242333825,,GPR,1916.9,0.10891864162171239
HEB_01TS55_01_20220607,HEB,81.17392029979989,4.8874386300482,Experimental,53.659491806874094,0.46340508193125907,,HEB,,
T20_02TS70_03_20220215,T20,110.9398397424421,4.737652885113782,Experimental,64.85610878808107,0.3514389121191893,,HTB,1291.4,0.08590664375285899
HIG_01TS65_03_20220609,HIG,116.39365042479317,5.711706803506553,Experimental,49.71197543811652,0.5028802456188348,,HIG,,
BMA_02TS85_01_20220216,BMA,85.52434119274996,2.2655998541940607,Experimental,77.91120805204237,0.2208879194795763,,GPR,1916.9,0.04461596389626478
ERB_01TS70_01_20220221,ERB,53.957147933127175,3.3259285397456035,Experimental,64.78704975807896,0.35212950241921037,,ERB,,
BMC_02TS80_02_20220221,BMC,105.30335492098568,3.793874142807382,Experimental,70.15783996299724,0.2984216003700275,,BMC,,
T20_02TS75_02_20220215,T20,97.32081350757396,3.9987428505629166,Experimental,70.50212586527988,0.29497874134720126,,HTB,1291.4,0.07536070428029576
HTC_01TS80_03_20220609,HTC,45.22745048277247,1.4790088255812692,Experimental,76.90880055246234,0.23091199447537658,,HTC,,
EGS_01TS55_01_20220301,EGS,58.94710672723005,5.106648508925037,Experimental,43.48470721305965,0.5651529278694035,,EGS,,
RGD_01TS75_01_20211122,RGD,212.74794809743207,2.9239831389569964,Experimental,68.3443310954538,0.3165566890454621,,RGD,,
T20_02TS55_02_20220215,T20,195.71082791227187,9.224699552360617,Experimental,47.57229698865034,0.5242770301134966,,HTB,1291.4,0.15154934792649208
EGS_01TS65_01_20220301,EGS,24.20631455813155,3.8508553922778286,Experimental,54.966907662442885,0.4503309233755711,,EGS,,
BMC_02TS80_03_20220221,BMC,100.3068655922719,4.083353547534576,Experimental,70.55243987049032,0.29447560129509687,,BMC,,
EGS_01TS65_02_20220301,EGS,22.50646950215069,3.433872377177879,Experimental,57.57608180609266,0.4242391819390734,,EGS,,
DUR_02TS85_02_20220215,DUR,26.669568516385542,1.5437116629347414,Experimental,85.65541616203161,0.14344583837968383,,DUR,,
HEC_01TS85_02_20220608,HEC,16.600730974369245,1.4229759099315809,Experimental,82.57651403483747,0.17423485965162522,,HEC,1001.5,0.016575867173608833
ERB_01TS70_03_20220221,ERB,56.73625445346774,2.945298456025477,Experimental,66.52977719371603,0.33470222806283967,,ERB,,
DUR_02TS60_02_20220215,DUR,81.574152975583,5.371987158132423,Experimental,55.4458688482134,0.445541311517866,,DUR,,
RGD_01TS70_01_20211122,RGD,250.3917188676537,4.578400261884425,Experimental,64.473289171942,0.35526710828058006,,RGD,,
T15_01TS80_02_20220303,T15,45.60895271145049,2.806248081999856,Experimental,76.08452363422178,0.2391547636577822,,T15,,
DFT_01TS70_02_20220303,DFT,126.36793210205138,5.014900955721965,Experimental,63.0791582157396,0.36920841784260405,,DFT,,
EGS_01TS70_03_20220301,EGS,15.759593469920267,2.5416992387658293,Experimental,63.68861103893128,0.36311388961068725,,EGS,,
M12_01TS80_02_20220607,M12,23.318018809044627,2.124978233095372,Experimental,77.8008137051644,0.22199186294835593,,M12,,
BMC_01TS65_01_20220211,BMC,206.85296543999542,8.572869201681362,Experimental,58.46360368942969,0.4153639631057031,,BMC,,
WHT_01TS60_02_20220303,WHT,296.17764477788745,7.8699623928248155,Experimental,55.22295295222954,0.4477704704777046,,HEC,1001.5,0.295734043712319
RGD_01TS55_01_20211122,RGD,407.1455010337066,7.788533316021201,Experimental,49.337898522488445,0.5066210147751156,,RGD,,
T15_01TS70_03_20220303,T15,73.6950633065819,3.961812742901243,Experimental,64.14371962892062,0.35856280371079374,,T15,,
M12_01TS75_01_20220607,M12,44.00295871481973,2.9307160527414964,Experimental,63.9491200448941,0.36050879955105897,,M12,,
HEB_01TS60_03_20220607,HEB,49.181000042920274,3.3188437615985276,Experimental,62.69699533164144,0.37303004668358564,,HEB,,
